"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Auto Points","Fuel Cell Points","Color Wheel Points","End Game Points","Foul Points","Average Score","Best Match","Worst Match","Trending Data"
"2723","b'Team Rocket'","14","17","50.0","41.29","27.93","0.71","30.71","-10.93","105.57","<a href=https://www.thebluealliance.com/match/2020mokc_qm44 target='_blank'>qm44</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm5 target='_blank'>qm5</a>"
"3284","b'Camdenton  LASER '","16","20","68.75","37.88","30.94","0.0","46.88","-5.62","123.94","<a href=https://www.thebluealliance.com/match/2020mokc_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm14 target='_blank'>qm14</a>"
"3928","b'Team Neutrino'","20","20","75.0","47.75","39.05","0.5","42.75","-13.2","142.5","<a href=https://www.thebluealliance.com/match/2020mokc_qm70 target='_blank'>qm70</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm37 target='_blank'>qm37</a>"
"4499","b'The Highlanders'","20","14","60.0","47.75","35.15","0.5","39.25","-12.15","127.15","<a href=https://www.thebluealliance.com/match/2020mokc_qm70 target='_blank'>qm70</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm21 target='_blank'>qm21</a>"
"4522","b'Team SCREAM'","19","19","73.68","47.79","43.26","0.53","49.74","-12.63","157.89","<a href=https://www.thebluealliance.com/match/2020mokc_qf1m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm10 target='_blank'>qm10</a>"
"4959","b'Millennium Falcons'","14","11","35.71","33.79","14.79","0.0","30.36","-9.64","86.43","<a href=https://www.thebluealliance.com/match/2020mokc_qf2m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm24 target='_blank'>qm24</a>"
"5119","b'Team STEAM'","14","14","42.86","36.43","33.86","0.0","25.71","-6.86","104.36","<a href=https://www.thebluealliance.com/match/2020mokc_qm62 target='_blank'>qm62</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm20 target='_blank'>qm20</a>"
"5141","b'GRIFFINITE'","16","9","37.5","34.25","25.06","0.0","34.06","-6.75","101.81","<a href=https://www.thebluealliance.com/match/2020mokc_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm20 target='_blank'>qm20</a>"
"525","b'Swartdogs'","16","20","62.5","35.62","33.56","0.0","46.25","-6.19","122.94","<a href=https://www.thebluealliance.com/match/2020mokc_qm62 target='_blank'>qm62</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm40 target='_blank'>qm40</a>"
"5268","b'The BioMech Falcons'","12","11","41.67","23.75","20.17","0.0","27.08","-18.5","81.0","<a href=https://www.thebluealliance.com/match/2020mokc_qm49 target='_blank'>qm49</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm9 target='_blank'>qm9</a>"
"5801","b'CTC Inspire'","17","21","70.59","36.0","30.71","0.0","42.06","-5.65","120.76","<a href=https://www.thebluealliance.com/match/2020mokc_qm70 target='_blank'>qm70</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm33 target='_blank'>qm33</a>"
"5918","b'Pumatrons'","12","10","41.67","31.58","26.33","0.83","27.92","-14.25","92.92","<a href=https://www.thebluealliance.com/match/2020mokc_qm65 target='_blank'>qm65</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm12 target='_blank'>qm-12</a>"
"6420","b'Fire Island Robotics'","12","11","41.67","28.25","21.17","0.0","29.58","-5.75","93.25","<a href=https://www.thebluealliance.com/match/2020mokc_qm57 target='_blank'>qm57</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm2 target='_blank'>qm2</a>"
"6805","b'Cyber Jays'","12","8","33.33","28.83","20.83","0.0","27.92","-4.75","87.08","<a href=https://www.thebluealliance.com/match/2020mokc_qm57 target='_blank'>qm57</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm9 target='_blank'>qm9</a>"
"6843","b'Guardian Gears'","14","14","50.0","34.57","17.57","0.0","28.21","-17.14","90.43","<a href=https://www.thebluealliance.com/match/2020mokc_qm23 target='_blank'>qm23</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm26 target='_blank'>qm26</a>"
"6886","b'Synthesizers'","14","14","35.71","33.86","19.29","0.0","37.5","-16.93","102.86","<a href=https://www.thebluealliance.com/match/2020mokc_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm12 target='_blank'>qm12</a>"
"7064","b'Voltron Robotics'","14","10","35.71","32.36","21.21","0.0","21.43","-13.93","91.93","<a href=https://www.thebluealliance.com/match/2020mokc_qm22 target='_blank'>qm22</a>","<a href=https://www.thebluealliance.com/match/2020mokc_qm3 target='_blank'>qm3</a>"
